ICB plus Code,BNF Chemical Substance plus Code,Spend per Patient_202412,Spend per Patient_202512,% Spend Change,Items per Patient_202412,Items per Patient_202512,% Items Change,Spend per Item_202412,Spend per Item_202512,% Spend per Item Change
England,Cefuroxime sodium (1103010T0),3e-06,2e-06,-49.7,0.0,0.0,-50.1,103.4124,104.3224,0.9
England,Celecoxib (1001010AH),0.001844,0.001406,-23.8,0.000561,0.000617,9.8,3.284798,2.279628,-30.6
England,Celiprolol hydrochloride (020400060),0.000757,0.001118,47.7,2.4e-05,2.2e-05,-7.2,31.311346,49.826001,59.1
England,Cenobamate (0408010AN),0.015343,0.024248,58.0,9.3e-05,0.000146,57.4,165.690891,166.379075,0.4
England,Cetirizine hydrochloride (0304010I0),0.012488,0.008642,-30.8,0.004437,0.004374,-1.4,2.814437,1.975778,-29.8
England,Cetomacrogol (1301010D0),0.000195,0.000172,-12.2,4.7e-05,4.3e-05,-8.1,4.197271,4.012286,-4.4
England,Cetrimide (1310050D0),1.3e-05,1.3e-05,-0.4,4e-06,4e-06,1.9,3.136093,3.063479,-2.3
England,Cetylpyridinium chloride (1203040C0),5e-06,3e-06,-24.9,1e-06,1e-06,-24.9,4.003325,4.003085,-0.0
England,Charcoal (1902070E0),4e-06,5e-06,12.0,1e-06,1e-06,8.0,3.833525,3.973148,3.6
England,Chiropody Appliances (2103),3.1e-05,2.3e-05,-28.4,2e-06,3e-06,17.9,14.65791,8.898029,-39.3
England,Chlohexidine gluconate (Emollient) (1302010Z0),5e-06,5e-06,-14.6,1e-06,1e-06,-14.7,4.902551,4.910176,0.2
England,Chloral hydrate (0401010B0),0.007072,0.006934,-2.0,1.5e-05,1.4e-05,-3.5,482.929111,490.57111,1.6
England,Chloramphenicol (0501070F0),3.4e-05,0.0,-100.0,0.0,0.0,-100.0,540.4274,0.0,-100.0
England,Chloramphenicol (1103010C0),0.006332,0.002902,-54.2,0.001242,0.00128,3.1,5.098222,2.266143,-55.6
England,Chloramphenicol (1201010H0),0.000357,0.000492,37.9,3e-06,3e-06,20.9,137.897976,157.357759,14.1
England,Chlordiazepoxide hydrochloride (0401020E0),0.000131,5.9e-05,-55.0,2.6e-05,2.6e-05,-1.8,4.948008,2.268403,-54.2
England,Chlorhex hydrochloride (1310050W0),1e-06,1e-06,13.1,0.0,0.0,-0.3,2.707402,3.069549,13.4
England,Chlorhexidine acetate (0704040D0),3e-06,0.0,-100.0,0.0,0.0,-100.0,39.180218,0.0,-100.0
England,Chlorhexidine acetate (1311020G0),1e-06,2e-06,232.5,0.0,0.0,232.4,10.978446,10.981302,0.0
England,Chlorhexidine gluconate (1203040E0),0.000515,0.000639,24.1,0.000179,0.000183,2.2,2.869269,3.484123,21.4
England,Chlorhexidine gluconate (1310050J0),1e-06,1e-06,-13.0,1e-06,0.0,-9.6,2.646348,2.547042,-3.8
England,Chlorhexidine gluconate (1311020L0),0.002382,0.002591,8.8,0.000249,0.00028,12.7,9.570462,9.237442,-3.5
England,Chloroquine phosphate (0504010F0),9e-06,5e-06,-42.4,1e-06,1e-06,-31.8,10.402755,8.786749,-15.5
England,Chlorothiazide (0202010D0),0.000116,9.7e-05,-16.4,2e-06,2e-06,-14.4,47.530489,46.417105,-2.3
England,Chloroxylenol (1311050E0),1e-06,2e-06,82.8,0.0,0.0,38.5,4.049606,5.344933,32.0
England,Chlorphenamine maleate (0304010G0),0.002907,0.005285,81.8,0.000949,0.000943,-0.6,3.064236,5.602287,82.8
England,Chlorpromazine hydrochloride (0402010D0),0.006596,0.005191,-21.3,0.000232,0.000225,-2.8,28.459439,23.03984,-19.0
England,Chlortalidone (0202010F0),0.000996,0.000711,-28.6,2e-05,2.1e-05,8.1,50.391988,33.277502,-34.0
England,Cholera (1404000E0),0.000456,0.0005,9.5,9e-06,1e-05,10.0,50.67142,50.471353,-0.4
England,Cholesterol (0908010D0),4.2e-05,0.0,-100.0,0.0,0.0,-100.0,2664.4924,0.0,-100.0
England,Cholesterol/simvastatin (1305020Z0),0.0,8e-06,999999.0,0.0,0.0,999999.0,0.0,508.7724,999999.0
England,Choline salicylate (1203010K0),9.6e-05,9.9e-05,2.6,2.2e-05,2.3e-05,1.8,4.298647,4.33015,0.7
England,Choriogonadotropin alfa (0605010X0),5.4e-05,5.7e-05,5.1,0.0,0.0,29.6,346.4844,281.013938,-18.9
England,Chorionic gonadotrophin (0605010D0),1.9e-05,1e-05,-46.2,0.0,0.0,-16.9,207.034329,133.97307,-35.3
England,Ciclesonide (0302000U0),0.001906,0.00194,1.8,6.4e-05,6.3e-05,-1.4,29.68408,30.65137,3.3
England,Ciclosporin (0802020G0),0.005023,0.004731,-5.8,5.3e-05,5e-05,-5.3,95.633729,95.149868,-0.5
England,Ciclosporin (Eye Anti Inflammatory) (1104020AE),0.020773,0.027108,30.5,0.000192,0.000249,29.7,108.309688,108.952885,0.6
England,Cilostazol (0206040X0),0.000544,0.000564,3.6,1.8e-05,1.7e-05,-3.5,30.667524,32.94994,7.4
England,Cimetidine (0103010D0),0.000908,0.000918,1.1,0.000104,0.000105,0.8,8.727697,8.751364,0.3
